,679630+,679626+,679632+,679600+,634137+,679616+,634137+,679596+
634137+,0,0,0,0,1,0,1,0
679616+,0,0,0,0,0,1,0,0
634137+,0,0,0,0,1,0,1,0
679600+,0,0,0,1,0,0,0,0
679632+,0,0,1,0,0,0,0,0
678376+,0,0,0,0,0,0,0,0
678376+,0,0,0,0,0,0,0,0
678376+,0,0,0,0,0,0,0,0
678376+,0,0,0,0,0,0,0,0
679624+,0,0,0,0,0,0,0,0
679626+,0,1,0,0,0,0,0,0
103634+,0,0,0,0,0,0,0,0
679666+,0,0,0,0,0,0,0,0
103632+,0,0,0,0,0,0,0,0
676855+,0,0,0,0,0,0,0,0
679662+,0,0,0,0,0,0,0,0
679630+,1,0,0,0,0,0,0,0
679668+,0,0,0,0,0,0,0,0
677942+,0,0,0,0,0,0,0,0
678228+,0,0,0,0,0,0,0,0
679514+,0,0,0,0,0,0,0,0
678568+,0,0,0,0,0,0,0,0
678228+,0,0,0,0,0,0,0,0
677942+,0,0,0,0,0,0,0,0
679668+,0,0,0,0,0,0,0,0
679662+,0,0,0,0,0,0,0,0
676855+,0,0,0,0,0,0,0,0
679666+,0,0,0,0,0,0,0,0
103634+,0,0,0,0,0,0,0,0
679640+,0,0,0,0,0,0,0,0
103632+,0,0,0,0,0,0,0,0
678228+,0,0,0,0,0,0,0,0
677942+,0,0,0,0,0,0,0,0
679668+,0,0,0,0,0,0,0,0
679662+,0,0,0,0,0,0,0,0
676855+,0,0,0,0,0,0,0,0
679666+,0,0,0,0,0,0,0,0
103634+,0,0,0,0,0,0,0,0
103632+,0,0,0,0,0,0,0,0
103634+,0,0,0,0,0,0,0,0
676855+,0,0,0,0,0,0,0,0
103632+,0,0,0,0,0,0,0,0
679666+,0,0,0,0,0,0,0,0
679662+,0,0,0,0,0,0,0,0
679668+,0,0,0,0,0,0,0,0
678228+,0,0,0,0,0,0,0,0
677942+,0,0,0,0,0,0,0,0
679646+,0,0,0,0,0,0,0,0
679610+,0,0,0,0,0,0,0,0
142488+,0,0,0,0,0,0,0,0
142488+,0,0,0,0,0,0,0,0
679610+,0,0,0,0,0,0,0,0
142488+,0,0,0,0,0,0,0,0
679610+,0,0,0,0,0,0,0,0
142488+,0,0,0,0,0,0,0,0
679610+,0,0,0,0,0,0,0,0
679610+,0,0,0,0,0,0,0,0
142488+,0,0,0,0,0,0,0,0
142488+,0,0,0,0,0,0,0,0
679610+,0,0,0,0,0,0,0,0
142488+,0,0,0,0,0,0,0,0
679610+,0,0,0,0,0,0,0,0
679592+,0,0,0,0,0,0,0,0
142488+,0,0,0,0,0,0,0,0
679610+,0,0,0,0,0,0,0,0
142488+,0,0,0,0,0,0,0,0
679610+,0,0,0,0,0,0,0,0
142488+,0,0,0,0,0,0,0,0
679610+,0,0,0,0,0,0,0,0
103632+,0,0,0,0,0,0,0,0
676855+,0,0,0,0,0,0,0,0
103634+,0,0,0,0,0,0,0,0
679666+,0,0,0,0,0,0,0,0
679662+,0,0,0,0,0,0,0,0
679668+,0,0,0,0,0,0,0,0
678228+,0,0,0,0,0,0,0,0
677942+,0,0,0,0,0,0,0,0
